"date","sentiment_category","count"
"2025-05-14","positive",12
"2025-05-14","unknown",1
"2025-05-15","negative",15
"2025-05-15","neutral",1
"2025-05-15","positive",16
"2025-05-15","unknown",1
"2025-05-16","negative",3
"2025-05-16","neutral",3
"2025-05-16","positive",24
"2025-05-16","unknown",1
"2025-05-17","negative",4
"2025-05-17","neutral",8
"2025-05-17","positive",22
"2025-05-17","unknown",1
"2025-05-18","negative",9
"2025-05-18","neutral",8
"2025-05-18","positive",21
"2025-05-18","unknown",3
"2025-05-19","negative",3
"2025-05-19","neutral",6
"2025-05-19","positive",13
"2025-05-19","unknown",2
"2025-05-20","negative",5
"2025-05-20","neutral",7
"2025-05-20","positive",26
"2025-05-20","unknown",2
"2025-05-21","negative",4
"2025-05-21","neutral",5
"2025-05-21","positive",15
"2025-05-21","unknown",2
"2025-05-22","negative",6
"2025-05-22","neutral",5
"2025-05-22","positive",23
"2025-05-22","unknown",2
"2025-05-23","negative",10
"2025-05-23","neutral",5
"2025-05-23","positive",17
"2025-05-24","negative",11
"2025-05-24","neutral",6
"2025-05-24","positive",23
"2025-05-24","unknown",1
"2025-05-25","negative",4
"2025-05-25","neutral",8
"2025-05-25","positive",28
"2025-05-26","negative",8
"2025-05-26","neutral",9
"2025-05-26","positive",44
"2025-05-27","negative",5
"2025-05-27","neutral",16
"2025-05-27","positive",40
"2025-05-27","unknown",1
"2025-05-28","negative",9
"2025-05-28","neutral",9
"2025-05-28","positive",37
"2025-05-29","negative",18
"2025-05-29","neutral",7
"2025-05-29","positive",42
"2025-05-29","unknown",2
"2025-05-30","negative",14
"2025-05-30","neutral",17
"2025-05-30","positive",48
"2025-05-30","unknown",7
"2025-05-31","negative",21
"2025-05-31","neutral",25
"2025-05-31","positive",74
"2025-05-31","unknown",14
"2025-06-01","negative",25
"2025-06-01","neutral",33
"2025-06-01","positive",77
"2025-06-01","unknown",11
