"date","sentiment_category","count"
"2024-04-27","negative",1
"2024-04-27","positive",1
"2024-04-28","positive",2
"2024-04-29","positive",1
"2024-04-30","negative",1
"2024-04-30","neutral",2
"2024-04-30","positive",3
"2024-05-01","positive",2
"2024-05-02","neutral",1
"2024-05-02","positive",3
"2024-05-03","positive",1
"2024-05-04","neutral",1
"2024-05-04","positive",1
"2024-05-05","positive",2
"2024-05-06","positive",1
"2024-05-07","negative",1
"2024-05-07","neutral",1
"2024-05-07","positive",2
"2024-05-08","positive",1
"2024-05-10","positive",1
"2024-05-11","negative",1
"2024-05-11","neutral",1
"2024-05-11","positive",1
"2024-05-12","negative",1
"2024-05-12","positive",2
"2024-05-14","negative",1
"2024-05-14","positive",1
"2024-05-15","negative",3
"2024-05-15","positive",2
"2024-05-16","negative",1
"2024-05-16","neutral",2
"2024-05-16","positive",6
"2024-05-17","neutral",1
"2024-05-17","positive",2
"2024-05-17","unknown",1
"2024-05-18","neutral",1
"2024-05-18","positive",3
"2024-05-19","negative",3
"2024-05-19","positive",1
"2024-05-20","negative",1
"2024-05-20","positive",2
"2024-05-20","unknown",1
"2024-05-21","negative",1
"2024-05-21","neutral",1
"2024-05-22","positive",1
"2024-05-22","unknown",1
"2024-05-23","negative",1
"2024-05-23","neutral",1
"2024-05-23","positive",1
"2024-05-24","positive",3
"2024-05-25","negative",1
"2024-05-25","positive",7
"2024-05-26","negative",3
"2024-05-26","neutral",1
"2024-05-26","positive",4
"2024-05-27","negative",2
"2024-05-27","positive",2
"2024-05-28","negative",1
"2024-05-28","positive",4
"2024-05-29","positive",1
"2024-05-30","positive",3
"2024-05-31","positive",4
"2024-06-01","negative",1
"2024-06-02","negative",3
"2024-06-02","neutral",1
"2024-06-02","positive",5
"2024-06-03","negative",1
"2024-06-03","neutral",1
"2024-06-03","positive",2
"2024-06-04","neutral",1
"2024-06-04","positive",1
"2024-06-05","negative",1
"2024-06-06","negative",2
"2024-06-06","positive",2
"2024-06-06","unknown",1
"2024-06-07","neutral",1
"2024-06-07","positive",3
"2024-06-08","negative",1
"2024-06-08","positive",3
"2024-06-09","neutral",1
"2024-06-09","positive",1
"2024-06-10","negative",1
"2024-06-11","negative",3
"2024-06-13","negative",3
"2024-06-13","neutral",1
"2024-06-13","positive",3
"2024-06-13","unknown",1
"2024-06-14","negative",1
"2024-06-15","positive",3
"2024-06-16","neutral",1
"2024-06-16","positive",1
"2024-06-17","neutral",1
"2024-06-18","negative",1
"2024-06-18","positive",4
"2024-06-19","neutral",1
"2024-06-20","positive",2
"2024-06-21","negative",1
"2024-06-21","positive",1
"2024-06-23","positive",4
"2024-06-23","unknown",1
"2024-06-24","neutral",1
"2024-06-24","positive",2
"2024-06-25","negative",1
"2024-06-26","positive",1
"2024-06-27","positive",2
"2024-06-28","positive",1
"2024-06-30","positive",2
"2024-07-01","negative",1
"2024-07-01","positive",1
"2024-07-02","negative",1
"2024-07-02","positive",4
"2024-07-03","negative",2
"2024-07-03","positive",2
"2024-07-04","negative",1
"2024-07-04","positive",6
"2024-07-05","negative",1
"2024-07-05","positive",1
"2024-07-06","negative",2
"2024-07-06","positive",5
"2024-07-07","positive",2
"2024-07-08","negative",3
"2024-07-08","positive",2
"2024-07-09","negative",1
"2024-07-09","positive",4
"2024-07-10","neutral",1
"2024-07-10","positive",1
"2024-07-11","positive",2
"2024-07-12","neutral",1
"2024-07-13","positive",1
"2024-07-14","positive",1
"2024-07-15","negative",1
"2024-07-15","neutral",1
"2024-07-15","positive",2
"2024-07-16","negative",1
"2024-07-16","positive",2
"2024-07-17","neutral",1
"2024-07-18","neutral",1
"2024-07-20","negative",1
"2024-07-21","neutral",1
"2024-07-21","positive",3
"2024-07-22","negative",1
"2024-07-22","neutral",1
"2024-07-22","positive",1
"2024-07-23","negative",1
"2024-07-23","neutral",1
"2024-07-24","negative",1
"2024-07-24","neutral",1
"2024-07-25","negative",1
"2024-07-25","positive",3
"2024-07-26","negative",4
"2024-07-26","neutral",1
"2024-07-26","positive",4
"2024-07-27","neutral",2
"2024-07-27","positive",1
"2024-07-28","negative",3
"2024-07-28","neutral",2
"2024-07-28","positive",3
"2024-07-29","neutral",1
"2024-07-29","positive",4
"2024-07-30","negative",2
"2024-07-30","neutral",1
"2024-07-31","negative",1
"2024-07-31","positive",1
"2024-07-31","unknown",2
